STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Quality Flag,Source Flag,Time of Observation,PSUN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TSUN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,AWND,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WDF2,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WDF5,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WSF2,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WSF5,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT01,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT06,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT02,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT04,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT08,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150101,0.00, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,39, , ,W,2400,27, , ,W,2400,7.16, , ,W,9999,260, , ,W,9999,250, , ,W,9999,17.0, , ,W,9999,31.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150102,0.00, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,42, , ,W,2400,35, , ,W,2400,7.16, , ,W,9999,260, , ,W,9999,310, , ,W,9999,15.0, , ,W,9999,25.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150103,0.71, , ,W,2400,0.0, , ,W,9999,0.0,T, ,W,9999,-9999, , , ,9999,-9999, , , ,9999,42, , ,W,2400,33, , ,W,2400,6.49, , ,W,9999,80, , ,W,9999,70, , ,W,9999,12.1, , ,W,9999,18.1, , ,W,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150104,0.30, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,56, , ,W,2400,41, , ,W,2400,6.49, , ,W,9999,280, , ,W,9999,260, , ,W,9999,29.1, , ,W,9999,46.1, , ,W,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150105,0.00, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,49, , ,W,2400,21, , ,W,2400,10.51, , ,W,9999,280, , ,W,9999,300, , ,W,9999,23.9, , ,W,9999,38.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150106,0.05, , ,W,2400,0.0, , ,W,9999,1.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,22, , ,W,2400,19, , ,W,2400,4.03, , ,W,9999,320, , ,W,9999,280, , ,W,9999,14.1, , ,W,9999,23.9, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150107,0.00, , ,W,2400,1.2, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,23, , ,W,2400,9, , ,W,2400,12.75, , ,W,9999,310, , ,W,9999,300, , ,W,9999,21.9, , ,W,9999,38.9, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150108,0.00, , ,W,2400,0.0,T, ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,21, , ,W,2400,8, , ,W,2400,8.72, , ,W,9999,310, , ,W,9999,310, , ,W,9999,18.1, , ,W,9999,31.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150109,0.07, , ,W,2400,0.0,T, ,W,9999,1.5, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,33, , ,W,2400,19, , ,W,2400,8.72, , ,W,9999,280, , ,W,9999,290, , ,W,9999,21.0, , ,W,9999,30.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150110,0.00, , ,W,2400,1.2, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,23, , ,W,2400,16, , ,W,2400,8.05, , ,W,9999,250, , ,W,9999,230, , ,W,9999,18.1, , ,W,9999,25.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150111,0.00, , ,W,2400,1.2, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,37, , ,W,2400,18, , ,W,2400,6.04, , ,W,9999,230, , ,W,9999,250, , ,W,9999,14.1, , ,W,9999,23.9, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150112,0.36, , ,W,2400,0.0,T, ,W,9999,0.0,T, ,W,9999,-9999, , , ,9999,-9999, , , ,9999,39, , ,W,2400,35, , ,W,2400,3.80, , ,W,9999,260, , ,W,9999,260, , ,W,9999,12.1, , ,W,9999,19.9, , ,W,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150113,0.00, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,36, , ,W,2400,17, , ,W,2400,8.50, , ,W,9999,30, , ,W,9999,40, , ,W,9999,18.1, , ,W,9999,25.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150114,0.00, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,32, , ,W,2400,16, , ,W,2400,6.26, , ,W,9999,70, , ,W,9999,80, , ,W,9999,14.1, , ,W,9999,17.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150115,0.00, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,35, , ,W,2400,25, , ,W,2400,4.70, , ,W,9999,250, , ,W,9999,290, , ,W,9999,15.0, , ,W,9999,19.9, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150116,0.00, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,43, , ,W,2400,20, , ,W,2400,9.84, , ,W,9999,310, , ,W,9999,320, , ,W,9999,21.0, , ,W,9999,32.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150117,0.00, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,32, , ,W,2400,17, , ,W,2400,6.04, , ,W,9999,310, , ,W,9999,190, , ,W,9999,14.1, , ,W,9999,23.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150118,2.10, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,42, , ,W,2400,31, , ,W,2400,3.80, , ,W,9999,270, , ,W,9999,210, , ,W,9999,10.1, , ,W,9999,19.9, , ,W,9999,1, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150119,0.00, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,42, , ,W,2400,36, , ,W,2400,7.61, , ,W,9999,290, , ,W,9999,270, , ,W,9999,16.1, , ,W,9999,33.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150120,0.00, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,40, , ,W,2400,32, , ,W,2400,5.82, , ,W,9999,290, , ,W,9999,280, , ,W,9999,13.0, , ,W,9999,19.9, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150121,0.00, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,36, , ,W,2400,25, , ,W,2400,4.25, , ,W,9999,350, , ,W,9999,20, , ,W,9999,10.1, , ,W,9999,15.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150122,0.00, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,40, , ,W,2400,31, , ,W,2400,5.59, , ,W,9999,310, , ,W,9999,300, , ,W,9999,14.1, , ,W,9999,21.9, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150123,0.00, , ,W,2400,0.0, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,39, , ,W,2400,28, , ,W,2400,5.59, , ,W,9999,250, , ,W,9999,250, , ,W,9999,14.1, , ,W,9999,19.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150124,0.72, , ,W,2400,3.1, , ,W,9999,3.6, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,39, , ,W,2400,33, , ,W,2400,6.04, , ,W,9999,290, , ,W,9999,290, , ,W,9999,14.1, , ,W,9999,23.9, , ,W,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999
