DATE	['SNWD', 'TMAX', 'TMIN', 'SNOW', 'AWND', 'WDF2', 'WDF5', 'WSF2', 'WSF5', 'WT01']
20150101	['0.0', '39', '27', '0.0', '7.16', '260', '250', '17.0', '31.1', '-9999']
20150102	['0.0', '42', '35', '0.0', '7.16', '260', '310', '15.0', '25.1', '-9999']
20150103	['0.0', '42', '33', '0.0', '6.49', '80', '70', '12.1', '18.1', '1']
20150104	['0.0', '56', '41', '0.0', '6.49', '280', '260', '29.1', '46.1', '1']
20150105	['0.0', '49', '21', '0.0', '10.51', '280', '300', '23.9', '38.0', '-9999']
20150106	['0.0', '22', '19', '1.0', '4.03', '320', '280', '14.1', '23.9', '-9999']
20150107	['1.2', '23', '9', '0.0', '12.75', '310', '300', '21.9', '38.9', '-9999']
20150108	['0.0', '21', '8', '0.0', '8.72', '310', '310', '18.1', '31.1', '-9999']
20150109	['0.0', '33', '19', '1.5', '8.72', '280', '290', '21.0', '30.0', '-9999']
20150110	['1.2', '23', '16', '0.0', '8.05', '250', '230', '18.1', '25.1', '-9999']
20150111	['1.2', '37', '18', '0.0', '6.04', '230', '250', '14.1', '23.9', '-9999']
20150112	['0.0', '39', '35', '0.0', '3.80', '260', '260', '12.1', '19.9', '1']
20150113	['0.0', '36', '17', '0.0', '8.50', '30', '40', '18.1', '25.1', '-9999']
20150114	['0.0', '32', '16', '0.0', '6.26', '70', '80', '14.1', '17.0', '-9999']
20150115	['0.0', '35', '25', '0.0', '4.70', '250', '290', '15.0', '19.9', '-9999']
20150116	['0.0', '43', '20', '0.0', '9.84', '310', '320', '21.0', '32.0', '-9999']
20150117	['0.0', '32', '17', '0.0', '6.04', '310', '190', '14.1', '23.0', '-9999']
20150118	['0.0', '42', '31', '0.0', '3.80', '270', '210', '10.1', '19.9', '1']
20150119	['0.0', '42', '36', '0.0', '7.61', '290', '270', '16.1', '33.1', '-9999']
20150120	['0.0', '40', '32', '0.0', '5.82', '290', '280', '13.0', '19.9', '-9999']
20150121	['0.0', '36', '25', '0.0', '4.25', '350', '20', '10.1', '15.0', '-9999']
20150122	['0.0', '40', '31', '0.0', '5.59', '310', '300', '14.1', '21.9', '-9999']
20150123	['0.0', '39', '28', '0.0', '5.59', '250', '250', '14.1', '19.0', '-9999']
20150124	['3.1', '39', '33', '3.6', '6.04', '290', '290', '14.1', '23.9', '1']
20150125	['2.0', '42', '31', '0.0', '6.26', '250', '260', '17.0', '30.0', '-9999']
20150126	['2.0', '31', '22', '5.5', '12.75', '60', '50', '23.0', '34.0', '1']
20150127	['7.9', '30', '20', '4.3', '8.28', '10', '330', '17.0', '30.0', '1']
20150128	['7.9', '34', '16', '0.0', '7.61', '310', '310', '16.1', '23.9', '-9999']
20150129	['5.9', '36', '19', '0.0', '3.80', '190', '180', '14.1', '19.9', '-9999']
20150130	['7.1', '38', '19', '1.0', '10.51', '310', '300', '21.9', '36.0', '1']
20150131	['7.1', '26', '13', '0.0', '12.30', '310', '290', '23.9', '44.1', '-9999']
20150201	['5.9', '36', '20', '0.3', '3.80', '250', '260', '12.1', '17.0', '1']
20150202	['7.1', '34', '14', '5.0', '9.84', '70', '310', '21.9', '32.0', '1']
20150203	['7.9', '26', '13', '0.0', '7.16', '310', '310', '17.0', '27.1', '-9999']
20150204	['7.9', '43', '24', '0.0', '4.25', '260', '250', '13.0', '19.0', '-9999']
20150205	['7.9', '42', '14', '0.0', '8.50', '360', '310', '19.9', '30.0', '-9999']
20150206	['7.9', '27', '12', '0.0', '7.16', '270', '240', '17.0', '25.9', '-9999']
20150207	['7.9', '40', '25', '0.0', '3.80', '260', '250', '12.1', '18.1', '-9999']
20150208	['7.9', '37', '29', '0.0', '8.50', '70', '60', '18.1', '25.9', '1']
20150209	['7.9', '29', '25', '0.0', '10.96', '60', '50', '19.9', '29.1', '-9999']
20150210	['7.9', '40', '26', '0.1', '10.51', '30', '30', '18.1', '28.0', '-9999']
20150211	['7.9', '34', '22', '0.0', '6.49', '50', '60', '18.1', '25.9', '-9999']
20150212	['7.9', '40', '16', '0.0', '7.38', '310', '320', '21.9', '38.9', '-9999']
20150213	['7.9', '21', '8', '0.0', '9.17', '310', '300', '21.9', '36.9', '-9999']
20150214	['7.9', '32', '16', '0.9', '5.37', '10', '250', '14.1', '23.0', '-9999']
20150215	['9.1', '25', '4', '0.0', '14.54', '300', '310', '23.0', '42.1', '-9999']
20150216	['9.1', '21', '3', '0.0', '6.93', '310', '320', '21.0', '36.9', '-9999']
20150217	['11.8', '27', '14', '3.3', '4.70', '50', '30', '12.1', '16.1', '-9999']
